emotion,model_used,status,error,rationale,V_right_pole_score_0_1000,V_left_pole_score_0_1000,V_signed_score_m1000_to_p1000,V_direction_label,V_direction_code,V_confidence_0_1,A_right_pole_score_0_1000,A_left_pole_score_0_1000,A_signed_score_m1000_to_p1000,A_direction_label,A_direction_code,A_confidence_0_1,C_right_pole_score_0_1000,C_left_pole_score_0_1000,C_signed_score_m1000_to_p1000,C_direction_label,C_direction_code,C_confidence_0_1,U_right_pole_score_0_1000,U_left_pole_score_0_1000,U_signed_score_m1000_to_p1000,U_direction_label,U_direction_code,U_confidence_0_1,S_right_pole_score_0_1000,S_left_pole_score_0_1000,S_signed_score_m1000_to_p1000,S_direction_label,S_direction_code,S_confidence_0_1
abandoned,google/gemini-3-flash-preview,ok,,"Abandoned is a highly negative, low-control state defined by the social loss of a caregiver or partner, creating significant uncertainty and moderate-to-low arousal.",115,885,-770,toward_left_pole,-1,0.95,480,520,-40,balanced,0,0.85,105,895,-790,toward_left_pole,-1,0.95,720,280,440,toward_right_pole,1,0.9,890,110,780,toward_right_pole,1,0.9
adoring,google/gemini-3-flash-preview,ok,,"Adoring is a highly positive, other-oriented emotion characterized by deep affection, moderate arousal, and a sense of certainty and devotion toward the object of love.",910,90,820,toward_right_pole,1,0.95,580,420,160,toward_right_pole,1,0.85,420,580,-160,toward_left_pole,-1,0.8,210,790,-580,toward_left_pole,-1,0.85,940,60,880,toward_right_pole,1,0.98
affectionate,google/gemini-3-flash-preview,ok,,"Affectionate is a highly positive, other-oriented emotion characterized by warmth, moderate physiological calm, and a sense of relational security.",890,110,780,toward_right_pole,1,0.98,420,580,-160,toward_left_pole,-1,0.92,680,320,360,toward_right_pole,1,0.85,180,820,-640,toward_left_pole,-1,0.88,940,60,880,toward_right_pole,1,0.99
afraid,google/gemini-3-flash-preview,ok,,"Afraid is a high-arousal, negative-valence state defined by low control and high uncertainty, primarily centered on individual survival and threat avoidance.",180,820,-640,toward_left_pole,-1,0.95,780,220,560,toward_right_pole,1,0.9,210,790,-580,toward_left_pole,-1,0.85,820,180,640,toward_right_pole,1,0.8,350,650,-300,toward_left_pole,-1,0.7
aggrieved,google/gemini-3-flash-preview,ok,,"Aggrieved describes feeling mistreated or wronged, resulting in negative valence, moderate arousal, low agency, and a strong social focus on the perpetrator.",180,820,-640,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.9,240,760,-520,toward_left_pole,-1,0.8,720,280,440,toward_right_pole,1,0.85
agitated,google/gemini-3-flash-preview,ok,,"Agitation is a high-arousal, negative state marked by low control and restlessness, typically triggered by stressful or unpredictable circumstances.",210,790,-580,toward_left_pole,-1,0.95,840,160,680,toward_right_pole,1,0.98,280,720,-440,toward_left_pole,-1,0.9,620,380,240,toward_right_pole,1,0.85,450,550,-100,toward_left_pole,-1,0.8
alarmed,google/gemini-3-flash-preview,ok,,"Alarmed represents a high-arousal, negative state characterized by sudden uncertainty and a perceived lack of immediate control over a startling threat.",210,790,-580,toward_left_pole,-1,0.95,840,160,680,toward_right_pole,1,0.98,320,680,-360,toward_left_pole,-1,0.85,780,220,560,toward_right_pole,1,0.9,450,550,-100,toward_left_pole,-1,0.75
alienated,google/gemini-3-flash-preview,ok,,"Alienated represents a low-valence, low-arousal state of social disconnection characterized by low agency and high social orientation due to the focus on external exclusion.",180,820,-640,toward_left_pole,-1,0.95,320,680,-360,toward_left_pole,-1,0.85,210,790,-580,toward_left_pole,-1,0.9,640,360,280,toward_right_pole,1,0.8,880,120,760,toward_right_pole,1,0.9
amazed,google/gemini-3-flash-preview,ok,,"Amazement is a high-arousal, positive state driven by unexpected stimuli, characterized by high uncertainty and a slight loss of perceived control.",820,180,640,toward_right_pole,1,0.95,740,260,480,toward_right_pole,1,0.9,410,590,-180,toward_left_pole,-1,0.85,880,120,760,toward_right_pole,1,0.9,550,450,100,toward_right_pole,1,0.7
amorous,google/gemini-3-flash-preview,ok,,"Amorous is a highly social, positive state characterized by physiological arousal and a strong orientation toward a romantic or sexual partner.",840,160,680,toward_right_pole,1,0.95,680,320,360,toward_right_pole,1,0.9,520,480,40,balanced,0,0.8,410,590,-180,toward_left_pole,-1,0.85,910,90,820,toward_right_pole,1,0.98
amused,google/gemini-3-flash-preview,ok,,"Amusement is a high-valence, moderate-arousal state often triggered by benign incongruity, reflecting a sense of safety and social connection.",820,180,640,toward_right_pole,1,0.95,480,520,-40,balanced,0,0.85,610,390,220,toward_right_pole,1,0.8,420,580,-160,toward_left_pole,-1,0.75,550,450,100,toward_right_pole,1,0.7
angry,google/gemini-3-flash-preview,ok,,"Anger is a high-arousal, negative-valence state characterized by high agency and social externalization, typically triggered by certain appraisals of injustice.",180,820,-640,toward_left_pole,-1,0.95,820,180,640,toward_right_pole,1,0.98,650,350,300,toward_right_pole,1,0.9,210,790,-580,toward_left_pole,-1,0.85,740,260,480,toward_right_pole,1,0.88
anguished,google/gemini-3-flash-preview,ok,,"Anguish is a high-arousal, low-control negative state reflecting intense psychological pain and a total loss of coping capacity.",42,958,-916,toward_left_pole,-1,0.98,780,220,560,toward_right_pole,1,0.92,115,885,-770,toward_left_pole,-1,0.95,640,360,280,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.8
annoyed,google/gemini-3-flash-preview,ok,,"Annoyance is a low-to-mid intensity negative state often triggered by external social agents, involving moderate arousal and a perceived lack of immediate control.",280,720,-440,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.9,420,580,-160,toward_left_pole,-1,0.85,310,690,-380,toward_left_pole,-1,0.8,640,360,280,toward_right_pole,1,0.85
antagonistic,google/gemini-3-flash-preview,ok,,"Antagonism is a high-arousal, socially-oriented state of hostility where the individual asserts control through negative opposition toward others.",180,820,-640,toward_left_pole,-1,0.95,720,280,440,toward_right_pole,1,0.9,640,360,280,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.8,890,110,780,toward_right_pole,1,0.95
anxious,google/gemini-3-flash-preview,ok,,"Anxiety is a high-arousal, negative state defined by extreme uncertainty and low perceived agency regarding future threats.",210,790,-580,toward_left_pole,-1,0.95,740,260,480,toward_right_pole,1,0.95,280,720,-440,toward_left_pole,-1,0.9,890,110,780,toward_right_pole,1,0.95,420,580,-160,toward_left_pole,-1,0.85
apprehensive,google/gemini-3-flash-preview,ok,,"Apprehension is a future-oriented state of anxiety defined by high uncertainty, low perceived control, and moderate arousal regarding a potentially negative outcome.",320,680,-360,toward_left_pole,-1,0.95,610,390,220,toward_right_pole,1,0.9,380,620,-240,toward_left_pole,-1,0.85,840,160,680,toward_right_pole,1,0.95,450,550,-100,toward_left_pole,-1,0.8
ardent,google/gemini-3-flash-preview,ok,,"Ardent denotes intense, passionate enthusiasm, combining high arousal and positive valence with a strong sense of purposeful agency and certainty.",820,180,640,toward_right_pole,1,0.9,880,120,760,toward_right_pole,1,0.95,740,260,480,toward_right_pole,1,0.85,180,820,-640,toward_left_pole,-1,0.8,610,390,220,toward_right_pole,1,0.75
aroused,google/gemini-3-flash-preview,ok,,"Aroused is the prototypical high-activation state; it is valence-ambiguous but leans positive, characterized by intense physiological energy and internal focus.",615,385,230,toward_right_pole,1,0.85,920,80,840,toward_right_pole,1,0.98,580,420,160,toward_right_pole,1,0.8,450,550,-100,toward_left_pole,-1,0.75,500,500,0,balanced,0,0.7
ashamed,google/gemini-3-flash-preview,ok,,"Shame is a negative, low-control emotion driven by social evaluation and the perceived failure to meet communal or personal moral standards.",120,880,-760,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.85,180,820,-640,toward_left_pole,-1,0.9,310,690,-380,toward_left_pole,-1,0.8,840,160,680,toward_right_pole,1,0.9
astonished,google/gemini-3-flash-preview,ok,,"Astonishment is a high-arousal, high-uncertainty state characterized by a sudden loss of control when encountering the unexpected, typically leaning toward a positive valence.",680,320,360,toward_right_pole,1,0.85,820,180,640,toward_right_pole,1,0.95,310,690,-380,toward_left_pole,-1,0.8,940,60,880,toward_right_pole,1,0.95,450,550,-100,toward_left_pole,-1,0.7
attached,google/gemini-3-flash-preview,ok,,"Attached reflects a positive, low-arousal social bond characterized by high predictability and a strong orientation toward an external target of affection.",740,260,480,toward_right_pole,1,0.9,380,620,-240,toward_left_pole,-1,0.85,520,480,40,balanced,0,0.8,210,790,-580,toward_left_pole,-1,0.85,890,110,780,toward_right_pole,1,0.95
awestruck,google/gemini-3-flash-preview,ok,,"Awestruck represents a high-arousal, positive state characterized by low personal control and high uncertainty due to the overwhelming nature of the stimulus.",820,180,640,toward_right_pole,1,0.9,740,260,480,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.8,880,120,760,toward_right_pole,1,0.9,650,350,300,toward_right_pole,1,0.75
baffled,google/gemini-3-flash-preview,ok,,"Baffled represents a high-uncertainty, low-control state where the individual struggles to comprehend a stimulus, leading to moderate arousal and slightly negative valence.",410,590,-180,toward_left_pole,-1,0.85,580,420,160,toward_right_pole,1,0.8,220,780,-560,toward_left_pole,-1,0.9,940,60,880,toward_right_pole,1,0.95,450,550,-100,toward_left_pole,-1,0.75
bashful,google/gemini-3-flash-preview,ok,,"Bashful is a socially-oriented, low-dominance state of mild shyness, typically viewed as endearing or positive rather than purely anxious.",580,420,160,toward_right_pole,1,0.85,420,580,-160,toward_left_pole,-1,0.8,310,690,-380,toward_left_pole,-1,0.9,640,360,280,toward_right_pole,1,0.75,790,210,580,toward_right_pole,1,0.95
bereaved,google/gemini-3-flash-preview,ok,,"Bereavement is a highly negative, low-control state triggered by social loss, involving high psychological arousal and significant life uncertainty.",42,958,-916,toward_left_pole,-1,0.98,610,390,220,toward_right_pole,1,0.85,115,885,-770,toward_left_pole,-1,0.92,780,220,560,toward_right_pole,1,0.88,840,160,680,toward_right_pole,1,0.9
betrayed,google/gemini-3-flash-preview,ok,,"Betrayal is a highly negative, high-arousal state triggered by an unexpected interpersonal violation, resulting in low perceived control and high social focus.",115,885,-770,toward_left_pole,-1,0.95,720,280,440,toward_right_pole,1,0.88,180,820,-640,toward_left_pole,-1,0.9,840,160,680,toward_right_pole,1,0.85,910,90,820,toward_right_pole,1,0.92
bitter,google/gemini-3-flash-preview,ok,,"Bitter is a negative, low-control emotion involving social resentment toward others, often resulting from perceived past injustices or failures.",180,820,-640,toward_left_pole,-1,0.95,420,580,-160,toward_left_pole,-1,0.85,210,790,-580,toward_left_pole,-1,0.9,150,850,-700,toward_left_pole,-1,0.8,740,260,480,toward_right_pole,1,0.85
blissful,google/gemini-3-flash-preview,ok,,"Bliss is a highly positive, low-arousal state of profound contentment and certainty, typically experienced as an internal sense of peace and emotional stability.",965,35,930,toward_right_pole,1,0.98,320,680,-360,toward_left_pole,-1,0.92,710,290,420,toward_right_pole,1,0.85,140,860,-720,toward_left_pole,-1,0.88,410,590,-180,toward_left_pole,-1,0.82
blue,google/gemini-3-flash-preview,ok,,"Reflects a low-arousal, negative valence state of sadness often characterized by internal withdrawal and a perceived lack of agency.",280,720,-440,toward_left_pole,-1,0.95,210,790,-580,toward_left_pole,-1,0.9,340,660,-320,toward_left_pole,-1,0.85,420,580,-160,toward_left_pole,-1,0.8,310,690,-380,toward_left_pole,-1,0.8
buoyant,google/gemini-3-flash-preview,ok,,"Buoyant describes a resilient, cheerful, and lighthearted state characterized by high positive valence and moderate activation, reflecting a sense of being emotionally uplifted.",880,120,760,toward_right_pole,1,0.95,620,380,240,toward_right_pole,1,0.9,740,260,480,toward_right_pole,1,0.85,210,790,-580,toward_left_pole,-1,0.8,450,550,-100,toward_left_pole,-1,0.75
calm,google/gemini-3-flash-preview,ok,,"Calm is a high-valence, low-arousal state defined by tranquility, predictability, and a sense of controlled composure.",780,220,560,toward_right_pole,1,0.95,120,880,-760,toward_left_pole,-1,0.98,650,350,300,toward_right_pole,1,0.85,150,850,-700,toward_left_pole,-1,0.9,300,700,-400,toward_left_pole,-1,0.8
captivated,google/gemini-3-flash-preview,ok,,"Captivated describes a state of intense, positive absorption where the individual's attention is dominated by an external stimulus, reducing personal agency while increasing social/object orientation.",840,160,680,toward_right_pole,1,0.95,680,320,360,toward_right_pole,1,0.9,320,680,-360,toward_left_pole,-1,0.85,410,590,-180,toward_left_pole,-1,0.8,720,280,440,toward_right_pole,1,0.85
caring,google/gemini-3-flash-preview,ok,,"Caring is a highly prosocial, positive emotion characterized by low-to-moderate arousal and a strong focus on the needs of others.",840,160,680,toward_right_pole,1,0.95,420,580,-160,toward_left_pole,-1,0.85,680,320,360,toward_right_pole,1,0.8,210,790,-580,toward_left_pole,-1,0.75,950,50,900,toward_right_pole,1,0.98
cheerful,google/gemini-3-flash-preview,ok,,"Cheerful is a high-valence, moderately high-arousal state characterized by positive agency, low uncertainty, and a frequent social orientation toward others.",890,110,780,toward_right_pole,1,0.98,620,380,240,toward_right_pole,1,0.92,710,290,420,toward_right_pole,1,0.88,210,790,-580,toward_left_pole,-1,0.85,680,320,360,toward_right_pole,1,0.82
cherished,google/gemini-3-flash-preview,ok,,"Cherished is a highly positive, low-arousal emotion rooted in secure social bonds, characterized by high certainty and a strong orientation toward the relationship.",945,55,890,toward_right_pole,1,0.98,380,620,-240,toward_left_pole,-1,0.9,720,280,440,toward_right_pole,1,0.85,120,880,-760,toward_left_pole,-1,0.92,890,110,780,toward_right_pole,1,0.95
claustrophobic,google/gemini-3-flash-preview,ok,,"Claustrophobia is a high-arousal, low-control negative state defined by the perceived threat of confinement and a desperate need for self-preservation.",115,885,-770,toward_left_pole,-1,0.95,820,180,640,toward_right_pole,1,0.9,85,915,-830,toward_left_pole,-1,0.95,640,360,280,toward_right_pole,1,0.85,150,850,-700,toward_left_pole,-1,0.8
comfortable,google/gemini-3-flash-preview,ok,,"Comfortable is a high-valence, low-arousal state defined by predictability, safety, and a relaxed sense of control over one's immediate surroundings.",820,180,640,toward_right_pole,1,0.95,180,820,-640,toward_left_pole,-1,0.9,650,350,300,toward_right_pole,1,0.85,120,880,-760,toward_left_pole,-1,0.9,350,650,-300,toward_left_pole,-1,0.8
comforted,google/gemini-3-flash-preview,ok,,"Comforted is a low-arousal, high-valence state characterized by social connection and a transition from distress to security and predictability.",880,120,760,toward_right_pole,1,0.95,210,790,-580,toward_left_pole,-1,0.9,620,380,240,toward_right_pole,1,0.85,180,820,-640,toward_left_pole,-1,0.8,840,160,680,toward_right_pole,1,0.9
compassionate,google/gemini-3-flash-preview,ok,,"Compassion is a positive, other-oriented emotion characterized by moderate agency, low uncertainty, and a calm but attentive level of physiological arousal.",820,180,640,toward_right_pole,1,0.95,410,590,-180,toward_left_pole,-1,0.85,680,320,360,toward_right_pole,1,0.88,240,760,-520,toward_left_pole,-1,0.82,960,40,920,toward_right_pole,1,0.98
concerned,google/gemini-3-flash-preview,ok,,"Concerned is a prosocial, mildly unpleasant state characterized by moderate uncertainty and outward focus regarding potential risks or others' well-being.",320,680,-360,toward_left_pole,-1,0.9,480,520,-40,balanced,0,0.85,410,590,-180,toward_left_pole,-1,0.8,650,350,300,toward_right_pole,1,0.85,720,280,440,toward_right_pole,1,0.9
conflicted,google/gemini-3-flash-preview,ok,,"Conflicted represents a low-control, high-uncertainty state of unpleasant tension arising from competing internal motivations or external pressures.",320,680,-360,toward_left_pole,-1,0.9,580,420,160,toward_right_pole,1,0.85,210,790,-580,toward_left_pole,-1,0.95,890,110,780,toward_right_pole,1,0.95,450,550,-100,toward_left_pole,-1,0.8
confused,google/gemini-3-flash-preview,ok,,"Confusion is defined by high uncertainty and low control, representing a cognitive impasse that is slightly aversive and moderately arousing.",380,620,-240,toward_left_pole,-1,0.85,450,550,-100,toward_left_pole,-1,0.8,210,790,-580,toward_left_pole,-1,0.9,920,80,840,toward_right_pole,1,0.95,480,520,-40,balanced,0,0.75
contemptuous,google/gemini-3-flash-preview,ok,,"Contempt involves a high-power, low-valence social evaluation where the subject feels superior and certain in their negative judgment of another.",180,820,-640,toward_left_pole,-1,0.95,420,580,-160,toward_left_pole,-1,0.85,780,220,560,toward_right_pole,1,0.9,150,850,-700,toward_left_pole,-1,0.8,890,110,780,toward_right_pole,1,0.95
content,google/gemini-3-flash-preview,ok,,"Contentment is a high-valence, low-arousal state defined by stability, internal satisfaction, and a sense of control over one's immediate circumstances.",820,180,640,toward_right_pole,1,0.95,210,790,-580,toward_left_pole,-1,0.9,740,260,480,toward_right_pole,1,0.85,120,880,-760,toward_left_pole,-1,0.88,350,650,-300,toward_left_pole,-1,0.8
cornered,google/gemini-3-flash-preview,ok,,"Cornered represents a high-arousal, low-control negative state where an individual feels trapped by external circumstances or agents, necessitating an urgent but restricted response.",180,820,-640,toward_left_pole,-1,0.95,720,280,440,toward_right_pole,1,0.9,110,890,-780,toward_left_pole,-1,0.95,640,360,280,toward_right_pole,1,0.85,580,420,160,toward_right_pole,1,0.8
crushed,google/gemini-3-flash-preview,ok,,"Crushed denotes a high-intensity negative state characterized by powerlessness and psychological devastation, typically following an unexpected blow to one's hopes or ego.",85,915,-830,toward_left_pole,-1,0.95,420,580,-160,toward_left_pole,-1,0.85,110,890,-780,toward_left_pole,-1,0.9,780,220,560,toward_right_pole,1,0.8,350,650,-300,toward_left_pole,-1,0.75
curious,google/gemini-3-flash-preview,ok,,"Curiosity is a positive, moderately arousing state driven by high uncertainty and an active desire to resolve information gaps.",720,280,440,toward_right_pole,1,0.9,580,420,160,toward_right_pole,1,0.85,610,390,220,toward_right_pole,1,0.8,840,160,680,toward_right_pole,1,0.95,450,550,-100,toward_left_pole,-1,0.75
defensive,google/gemini-3-flash-preview,ok,,"Defensiveness is a high-arousal, negative state triggered by perceived social threats, characterized by low agency and a protective focus on the self.",280,720,-440,toward_left_pole,-1,0.9,640,360,280,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.8,580,420,160,toward_right_pole,1,0.75,420,580,-160,toward_left_pole,-1,0.8
defiant,google/gemini-3-flash-preview,ok,,"Defiance is a high-arousal, high-control state characterized by active resistance to external pressure, typically leaning toward negative valence due to its confrontational nature.",380,620,-240,toward_left_pole,-1,0.85,780,220,560,toward_right_pole,1,0.9,720,280,440,toward_right_pole,1,0.88,410,590,-180,toward_left_pole,-1,0.8,640,360,280,toward_right_pole,1,0.82
dejected,google/gemini-3-flash-preview,ok,,"Dejection is a low-arousal, highly unpleasant state marked by a profound lack of control and internal focus following disappointment or failure.",180,820,-640,toward_left_pole,-1,0.95,210,790,-580,toward_left_pole,-1,0.9,140,860,-720,toward_left_pole,-1,0.85,320,680,-360,toward_left_pole,-1,0.8,280,720,-440,toward_left_pole,-1,0.75
delighted,google/gemini-3-flash-preview,ok,,"Delighted is a high-valence, moderately high-arousal emotion characterized by satisfaction and a sense of control following positive events.",945,55,890,toward_right_pole,1,0.98,680,320,360,toward_right_pole,1,0.92,720,280,440,toward_right_pole,1,0.85,210,790,-580,toward_left_pole,-1,0.88,550,450,100,toward_right_pole,1,0.75
demeaned,google/gemini-3-flash-preview,ok,,"Demeaned is a low-valence, low-control social emotion triggered by external devaluation, resulting in moderate arousal and high other-orientation.",115,885,-770,toward_left_pole,-1,0.95,480,520,-40,balanced,0,0.85,140,860,-720,toward_left_pole,-1,0.9,320,680,-360,toward_left_pole,-1,0.8,820,180,640,toward_right_pole,1,0.9
demoralized,google/gemini-3-flash-preview,ok,,"Demoralization is a low-arousal, highly unpleasant state defined by a total loss of control and confidence in one's ability to succeed.",145,855,-710,toward_left_pole,-1,0.95,280,720,-440,toward_left_pole,-1,0.85,110,890,-780,toward_left_pole,-1,0.9,620,380,240,toward_right_pole,1,0.8,410,590,-180,toward_left_pole,-1,0.75
dependent,google/gemini-3-flash-preview,ok,,"Dependency is defined by low agency and high social orientation, reflecting a passive state where well-being is contingent upon others.",410,590,-180,toward_left_pole,-1,0.85,320,680,-360,toward_left_pole,-1,0.8,180,820,-640,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.75,890,110,780,toward_right_pole,1,0.9
desolate,google/gemini-3-flash-preview,ok,,"Desolate is a highly negative, low-arousal state defined by extreme loneliness, powerlessness, and a sense of being utterly forsaken.",85,915,-830,toward_left_pole,-1,0.98,210,790,-580,toward_left_pole,-1,0.92,115,885,-770,toward_left_pole,-1,0.95,420,580,-160,toward_left_pole,-1,0.85,180,820,-640,toward_left_pole,-1,0.9
despairing,google/gemini-3-flash-preview,ok,,"Despairing is a highly negative, low-agency state marked by hopelessness, low physiological arousal, and a self-oriented focus on one's perceived inability to influence the future.",42,958,-916,toward_left_pole,-1,0.98,310,690,-380,toward_left_pole,-1,0.85,15,985,-970,toward_left_pole,-1,0.95,180,820,-640,toward_left_pole,-1,0.8,220,780,-560,toward_left_pole,-1,0.75
desperate,google/gemini-3-flash-preview,ok,,"Desperation is a high-arousal, low-control negative state defined by an urgent, uncertain need to escape a dire situation.",85,915,-830,toward_left_pole,-1,0.95,780,220,560,toward_right_pole,1,0.9,110,890,-780,toward_left_pole,-1,0.95,820,180,640,toward_right_pole,1,0.85,420,580,-160,toward_left_pole,-1,0.75
